state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Keralam,Kozhikode(Calicut),Mukkom Market,Grapes,Other,Large,21/06/2026,9000.0,9800.0,9500.0
Keralam,Kozhikode(Calicut),Mukkom Market,Orange,Other,Large,21/06/2026,20500.0,21500.0,21000.0
Keralam,Kozhikode(Calicut),Mukkom Market,Cabbage,Cabbage,FAQ,21/06/2026,2200.0,2600.0,2400.0
Keralam,Kozhikode(Calicut),Mukkom Market,Onion,Onion,FAQ,21/06/2026,2200.0,2600.0,2400.0
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Tomato,Hybrid,FAQ,21/06/2026,1200.0,2000.0,1600.0
Haryana,Sonipat,Ganaur APMC,Onion,Onion,FAQ,21/06/2026,2000.0,3000.0,2500.0
Haryana,Sonipat,Ganaur APMC,Bhindi(Ladies Finger),Bhindi,Medium,21/06/2026,2000.0,2500.0,2200.0
Haryana,Sonipat,Ganaur APMC,Bottle gourd,Bottle Gourd,Medium,21/06/2026,1000.0,1500.0,1200.0
Haryana,Sonipat,Ganaur APMC,Brinjal,Brinjal,Medium,21/06/2026,2000.0,3000.0,2500.0
Keralam,Kollam,Anchal Market,Banana,Red Banana,Medium,21/06/2026,6000.0,6000.0,6000.0
Keralam,Kollam,Anchal Market,Banana,Palayamthodan,Medium,21/06/2026,3400.0,3400.0,3400.0
Keralam,Kollam,Anchal Market,Amaranthus,Amaranthus,Local,21/06/2026,4100.0,4100.0,4100.0
Keralam,Kollam,Anchal Market,Ashgourd,Ashgourd,Local,21/06/2026,6700.0,6700.0,6700.0
Keralam,Kollam,Anchal Market,Snakeguard,Snakeguard,Local,21/06/2026,4600.0,4600.0,4600.0
Rajasthan,Jalore,Jalore APMC,Cluster beans,Other,Local,21/06/2026,3000.0,3500.0,3300.0
Rajasthan,Jalore,Jalore APMC,Lemon,Other,Local,21/06/2026,2500.0,3000.0,2800.0
Rajasthan,Jalore,Jalore APMC,Onion,Onion,Local,21/06/2026,1500.0,1800.0,1600.0
