State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Kozhikode(Calicut),"Mukkom Market",Grapes,Other,Large,21/06/2026,9000,9800,9500
Keralam,Kozhikode(Calicut),"Mukkom Market",Orange,Other,Large,21/06/2026,20500,21500,21000
Keralam,Kozhikode(Calicut),"Mukkom Market",Cabbage,Cabbage,FAQ,21/06/2026,2200,2600,2400
Keralam,Kozhikode(Calicut),"Mukkom Market",Onion,Onion,FAQ,21/06/2026,2200,2600,2400
"Andhra Pradesh",Annamayya,"Guramkonda Sub-yard of AMC Valmikipuram",Tomato,Hybrid,FAQ,21/06/2026,1200,2000,1600
Haryana,Sonipat,"Ganaur APMC",Onion,Onion,FAQ,21/06/2026,2000,3000,2500
Haryana,Sonipat,"Ganaur APMC","Bhindi(Ladies Finger)",Bhindi,Medium,21/06/2026,2000,2500,2200
Haryana,Sonipat,"Ganaur APMC","Bottle gourd","Bottle Gourd",Medium,21/06/2026,1000,1500,1200
Haryana,Sonipat,"Ganaur APMC",Brinjal,Brinjal,Medium,21/06/2026,2000,3000,2500
Keralam,Kollam,"Anchal Market",Banana,"Red Banana",Medium,21/06/2026,6000,6000,6000
Keralam,Kollam,"Anchal Market",Banana,Palayamthodan,Medium,21/06/2026,3400,3400,3400
Keralam,Kollam,"Anchal Market",Amaranthus,Amaranthus,Local,21/06/2026,4100,4100,4100
Keralam,Kollam,"Anchal Market",Ashgourd,Ashgourd,Local,21/06/2026,6700,6700,6700
Keralam,Kollam,"Anchal Market",Snakeguard,Snakeguard,Local,21/06/2026,4600,4600,4600
Rajasthan,Jalore,"Jalore APMC","Cluster beans",Other,Local,21/06/2026,3000,3500,3300
Rajasthan,Jalore,"Jalore APMC",Lemon,Other,Local,21/06/2026,2500,3000,2800
Rajasthan,Jalore,"Jalore APMC",Onion,Onion,Local,21/06/2026,1500,1800,1600
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Apple,American,Local,21/06/2026,18000,25000,21500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Banana,Besrai,Local,21/06/2026,4000,5000,4500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )","Mousambi(Sweet Lime)",Mousambi,Local,21/06/2026,9000,10000,9500
